t,V,V_sum,sea_level,sea_level_cumulative
2078.5,342256899.833279,111633855866.19917,0.0008671976583811261,0.2828536647482686
2078.75,341370334.9159183,111975226201.1151,0.000864951313542753,0.28371861606181137
2079.0,340486753.2107564,112315712954.32585,0.000862712527455232,0.2845813285892666
2079.25,339606146.1871075,112655319100.51295,0.0008604812785038324,0.28544180986777046
2079.5,338728505.336836,112994047605.8498,0.0008582575451309601,0.2863000674129014
2079.75,337853822.17419285,113331901428.02399,0.0008560413058357433,0.28715610871873715
2080.0,336982088.23587483,113668883516.25986,0.0008538325391741831,0.28800994125791135
2080.25,336113295.0809078,114004996811.34076,0.0008516312237588564,0.2888615724816702
2080.5,335246664.17384726,114340243475.5146,0.0008494353869659394,0.28971100786863613
2080.75,334376927.90360814,114674620403.41821,0.0008472316819206126,0.29055823955055676
2081.0,333502153.90302294,115008122557.32124,0.0008450152124636353,0.2914032547630204
2081.25,332622269.83848816,115340744827.15973,0.0008427857953188441,0.29224604055833925
2081.5,331737202.51697266,115672482029.6767,0.0008405432450324897,0.2930865838033717
2081.75,330846877.8704057,116003328907.5471,0.0008382873739336804,0.29392487117730537
2082.0,329951220.93969005,116333280128.4868,0.0008360179920938761,0.29476088916939924
2082.25,329050155.85837466,116662330284.34517,0.0008337349072855161,0.29559462407668474
2082.5,328143605.8359413,116990473890.1811,0.0008314379249396744,0.2964260620016244
2082.75,327231493.14073235,117317705383.32184,0.0008291268481028007,0.29725518884972724
2083.0,326313739.0824886,117644019122.40433,0.0008268014773924763,0.29808199032711974
2083.25,325390263.9945245,117969409386.39885,0.0008244616109522499,0.29890645193807197
2083.5,324460987.2154455,118293870373.61429,0.0008221070444053146,0.2997285589824773
2083.75,323525827.07054096,118617396200.68483,0.0008197375708073605,0.30054829655328463
2084.0,322584618.6066603,118939980819.29149,0.0008173527722062997,0.3013656493254909
2084.25,321635588.24258035,119261616407.53407,0.0008149481547687444,0.30218059748025966
2084.5,320677688.3956092,119582294095.92969,0.0008125210641690759,0.30299311854442873
2084.75,319710811.21897626,119902004907.14867,0.0008100712271492037,0.30380318977157794
2085.0,318734847.4400445,120220739754.58871,0.0008075983668382308,0.3046107881384162
2085.25,317749686.333209,120538489440.92192,0.0008051022026837839,0.30541589034109995
2085.5,316755215.69222474,120855244656.61415,0.0008025824503819006,0.30621847279148184
2085.75,315751321.8019165,121170995978.41606,0.0008000388218053475,0.3070185116132872
2086.0,314737889.40917367,121485733867.82524,0.0007974710249301282,0.3078159826382173
2086.25,313714801.69330317,121799448669.51854,0.0007948787637603648,0.3086108614019777
2086.5,312681940.2356381,122112130609.75418,0.0007922617382512937,0.309403123140229
2086.75,311639184.98850983,122423769794.74269,0.000789619644230648,0.31019274278445963
2087.0,310586414.24337184,122734356208.98607,0.0007869521733178905,0.3109796949577775
2087.25,309523504.5982103,123043879713.58427,0.0007842590128416407,0.3117639539706191
2087.5,308450330.9242125,123352330044.50848,0.0007815398457552196,0.31254549381637436
2087.75,307366766.33157516,123659696810.84006,0.0007787943505500168,0.31332428816692437
2088.0,306272682.1344804,123965969492.97453,0.000776022201166748,0.3141003103680911
2088.25,305167947.8152568,124271137440.7898,0.0007732230669046464,0.31487353343499574
2088.5,304052430.9876295,124575189871.77742,0.0007703966123283491,0.3156439300473241
2088.75,302925997.3590957,124878115869.13652,0.0007675424971725636,0.3164114725444967
2089.0,301788510.6923379,125179904379.82886,0.0007646603762442999,0.317176132920741
2089.25,300639832.7656953,125480544212.59456,0.0007617498993227133,0.3179378828200637
2089.5,299479823.33266157,125780024035.92722,0.0007588107110564816,0.3186966935311202
2089.75,298308340.0803233,126078332376.00754,0.0007558424508584977,0.3194525359819787
2090.0,297125238.5868232,126375457614.59436,0.0007528447527980928,0.3202053807347768
2090.25,295930372.2776862,126671387986.87204,0.0007498172454903747,0.32095519798026717
2090.5,294723592.3810505,126966111579.2531,0.0007467595519827971,0.32170195753224995
2090.75,293504747.88175595,127259616327.13486,0.0007436712896388272,0.32244562882188876
2091.0,292273685.47429323,127551890012.60915,0.0007405520700187328,0.3231861808919075
2091.25,291030249.51441187,127842920262.12355,0.0007374014987569662,0.32392358239066443
2091.5,289774281.9697298,128132694544.09328,0.0007342191754370228,0.32465780156610147
2091.75,288505622.3687072,128421200166.46199,0.0007310046934621511,0.3253888062595636
2092.0,287224107.74863017,128708424274.21062,0.0007277576399235567,0.3261165638994872
2092.25,285929572.60189867,128994353846.81252,0.0007244775954643086,0.32684104149495147
2092.5,284621848.82125765,129278975695.63377,0.0007211641341405672,0.32756220562909205
2092.75,283300765.6432328,129562276461.27701,0.000717816823278265,0.3282800224523703
2093.0,281966149.5902441,129844242610.86725,0.0007144352233264351,0.32899445767569674
2093.25,280617824.4111299,130124860435.27838,0.0007110188877065141,0.32970547656340327
2093.5,279255611.02005994,130404116046.29845,0.000707567362657562,0.3304130439260608
2093.75,277879327.43380773,130681995373.73225,0.0007040801870773246,0.33111712411313815
2094.0,276488788.70727897,130958484162.43953,0.0007005568923588796,0.331817681005497
2094.25,275083806.86729145,131233567969.30682,0.0006969970022228481,0.3325146780077199
2094.5,273664190.8445752,131507232160.1514,0.0006934000325451015,0.333208078040265
2094.75,272229746.4037907,131779461906.55519,0.0006897654911794429,0.3338978435314444
2095.0,270780276.0717306,132050242182.62692,0.0006860928777756875,0.33458393640922013
2095.25,269315579.0634184,132319557761.69034,0.0006823816835924149,0.33526631809281254
2095.5,267835451.20613927,132587393212.89648,0.0006786313913044803,0.335944949484117
2095.75,266339684.8613822,132853732897.75787,0.0006748414748052353,0.33661979095892225
2096.0,264828068.84450802,133118560966.60239,0.0006710113990029848,0.33729080235792525
2096.25,263300388.3421301,133381861354.94452,0.0006671406196116505,0.3379579429775369
2096.5,261756424.8271854,133643617779.7717,0.0006632285829355801,0.3386211715604725
2096.75,260195955.97143233,133903813735.74313,0.0006592747256478383,0.33928044628612036
2097.0,258618755.55555525,134162432491.29869,0.0006552784745624325,0.3399357247606828
2097.25,257024593.376524,134419457084.67522,0.0006512392463995844,0.3405869640070824
2097.5,255413235.1523236,134674870319.82755,0.0006471564475443373,0.3412341204546267
2097.75,253784442.42379445,134928654762.25134,0.0006430294737978424,0.34187714992842455
2098.0,265132486.8928219,135193787249.14417,0.0006717827220027413,0.3425489326504273
2098.25,281273424.4103678,135475060673.55453,0.0007126800223233784,0.3432616126727507
2098.5,297573848.33176476,135772634521.8863,0.0007539814232948152,0.3440155940960455
2098.75,314036500.69405264,136086671022.58035,0.0007956938725873581,0.34481128796863286
2099.0,330664186.90702486,136417335209.48738,0.0008378244784428126,0.3456491124470757
2099.25,347459777.5881546,136764794987.07553,0.0008803805143237506,0.34652949296139945
2099.5,364426210.461936,137129221197.53746,0.0009233694237259888,0.34745286238512546
2099.75,381566492.32570416,137510787689.86316,0.0009667988251595109,0.34841966121028495
2100.0,398883701.0851723,137909671390.94833,0.0010106765173060336,0.34943033772759097
2100.25,416380987.8624576,138326052378.8108,0.001055010484360244,0.3504853482119512
2100.5,434061579.1794011,138760113957.9902,0.001099808901561814,0.351585157113513
2100.75,451928779.2195646,139212042737.20978,0.0011450801409267606,0.35273023725443975
2101.0,469985972.17238605,139682028709.38217,0.0011908327771869816,0.3539210700316267
2101.25,488236624.66261303,140170265334.0448,0.0012370755939458613,0.3551581456255726
2101.5,506684288.2683715,140676949622.31317,0.0012838175900584576,0.35644196321563104
2101.75,525333183.61424714,141202282805.92743,0.0013310694595845825,0.3577730326752156
2102.0,544195354.107906,141746478160.03534,0.0013788617176575518,0.35915189439287315
2102.25,563277901.7600263,142309756061.79538,0.0014272123590848716,0.36057910675195803
2102.5,582585074.7543296,142892341136.5497,0.0014761321477546549,0.3620552388997127
2102.75,602121229.0993048,143494462365.64902,0.0015256321207573538,0.36358087102047004
2103.0,621890832.0498358,144116353197.69885,0.0015757235970553522,0.3651565946175254
2103.25,641899066.7282712,144758252264.42712,0.0016264197094490872,0.3667830143269745
2103.5,662160367.5589052,145420412631.98602,0.0016777570313398669,0.3684607713583144
2103.75,682684133.7188784,146103096765.7049,0.0017297593780091682,0.3701905307363236
2104.0,703475727.2018688,146806572492.90677,0.0017824403354748746,0.37197297107179844
2104.25,724540652.3275895,147531113145.23434,0.0018358138503752237,0.3738087849221737
2104.5,745884560.4452275,148276997705.67957,0.0018898942418862025,0.37569867916405986
2104.75,767513254.8246155,149044510960.50418,0.001944696214114616,0.3776433753781745
2105.0,789432695.7423779,149833943656.24655,0.002000234868985172,0.37964361024715965
2105.25,811649005.7728573,150645592662.0194,0.002056525719646432,0.3817001359668061
2105.5,834168475.2936867,151479761137.3131,0.0021135847044206216,0.3838137206712267
2105.75,856997568.2154833,152336758705.5286,0.0021714282013213146,0.38598514887254803
2106.0,880142927.9472392,153216901633.47583,0.0022300730431683157,0.38821522191571634
