t,V,sum,sea_level,sea_level_cumulative
2100.75,22596438.96097823,6960602136.860489,5.725400704633803e-05,0.01763651186272199
2101.0,23499298.608619303,6984101435.469109,5.954163885934908e-05,0.017696053501581342
2101.25,24411831.233130652,7008513266.702239,6.185377969729306e-05,0.017757907281278636
2101.5,25334214.413418576,7033847481.115658,6.419087950292289e-05,0.01782209816078156
2101.75,26266659.180712357,7060114140.2963705,6.655347297922912e-05,0.01788865163376079
2102.0,27209767.705395296,7087323908.001766,6.894308588287759e-05,0.017957594719643668
2102.25,28163895.08800132,7115487803.089767,7.13606179542436e-05,0.01802895533759791
2102.5,29129253.73771648,7144617056.827484,7.380660738773274e-05,0.018102761944985644
2102.75,30106061.454965238,7174723118.28245,7.628160603786769e-05,0.01817904355102351
2103.0,31094541.60249179,7205817659.884941,7.87861798527676e-05,0.01825782973087628
2103.25,32094953.336413562,7237912613.2213545,8.132098547245437e-05,0.018339150716348732
2103.5,33108018.377945263,7271020631.599299,8.388785156699336e-05,0.018423038567915724
2103.75,34134206.68594392,7305154838.285243,8.64879689004584e-05,0.018509526536816184
2104.0,35173786.36009344,7340328624.645336,8.912201677374374e-05,0.018598648553589926
2104.25,36227032.61637948,7376555657.261716,9.17906925187612e-05,0.01869043924610869
2104.5,37294228.02226137,7413849885.2839775,9.449471209431012e-05,0.018784933958203
2104.75,38375662.74123077,7452225548.025208,9.72348107057308e-05,0.01888216876890873
2105.0,39471634.78711889,7491697182.812327,0.00010001174344925859,0.018982180512357987
2105.25,40582450.28864287,7532279633.10097,0.00010282628598232161,0.01908500679834031
2105.5,41708423.76468434,7573988056.865655,0.00010567923522103109,0.01919068603356134
2105.75,42849878.410774164,7616837935.276429,0.00010857141006606574,0.019299257443627406
2106.0,44007146.39736196,7660845081.673791,0.00011150365215841579,0.019410761095785822
2106.25,45180569.180394396,7706025650.854185,0.00011447682666631463,0.019525237922452136
2106.5,46370497.82483567,7752396148.679021,0.00011749182310496281,0.0196427297455571
2106.75,47577293.34173424,7799973442.020755,0.000120549556190575,0.019763279301747674
2107.0,48801327.0395118,7848774769.0602665,0.00012365096673046293,0.019886930268478136
2107.25,50042980.89020295,7898817749.950469,0.00012679702255099942,0.020013727291029137
2107.5,51302647.911318325,7950120397.861788,0.00012998871946516918,0.020143716010494306
2107.75,52580732.56421083,8002701130.425999,0.00013322708228193385,0.02027694309277624
2108.0,53877651.169705205,8056578781.595704,0.0001365131658593387,0.020413456258635578
2108.25,55193832.34188955,8111772613.937593,0.00013984805620363735,0.020553304314839215
2108.5,56529717.4410337,8168302331.378627,0.00014323287161687918,0.020696537186456095
2108.75,57885761.04655376,8226188092.42518,0.00014666876389528912,0.020843205950351384
2109.0,59262431.45114702,8285450523.8763275,0.00015015691958128824,0.020993362869932673
2109.25,60660211.17712689,8346110735.053454,0.0001536985612717635,0.021147061431204435
2109.5,62079597.516198665,8408190332.5696535,0.00015729494898573154,0.021304356380190168
2109.75,63521103.09387454,8471711435.663528,0.00016094738159443215,0.0214653037617846
2110.0,64985256.4598828,8536696692.123411,0.00016465719831728481,0.021629960960101884
2110.25,66472602.705934,8603169294.829346,0.00016842578028716145,0.021798386740389045
2110.5,67983704.11239366,8671152998.94174,0.0001722545521889013,0.021970641292577947
2110.75,69519140.8253802,8740672139.76712,0.0001761449839749163,0.022146786276552862
2111.0,71079511.56603622,8811751651.333157,0.00018009859266231593,0.022326884869215177
2111.25,72665434.37368718,8884417085.706844,0.00018411694421589475,0.02251100181343107
2111.5,74277547.3848944,8958694633.09174,0.00018820165552206757,0.022699203468953138
2111.75,75916509.65034321,9034611142.742083,0.00019235439645866982,0.022891557865411808
2112.0,77583001.99174419,9112194144.733828,0.00019657689206614183,0.02308813475747795
2112.25,79277727.90111962,9191471872.634947,0.00020087092482610694,0.02328900568230406
2112.5,81001414.48484315,9272473287.11979,0.0002052383370533437,0.023494244019357402
